Station,NodeNamen,NodeID,LinkName,LinkID,StopFacility,StopName
Bramfeld,Bramfeld,Bramfeld,BramfeldLink,BramfeldLink,BramfeldStopFacility,BramfeldStop1
Steilshoop,Steilshoop,Steilshoop,SteilshoopLink,SteilshoopLink,SteilshoopStopFacility,SteilshoopStop1
Barmbek_Nord,Barmbek_NordNode,Barmbek_NordNode,BA-Barmbek_NordLink,BA-Barmbek_NordLink,BA-Barmbek_NordStopFacility,BA-Barmbek_NordStop
Sengelmannstrasse,SengelmannstrasseNode,SengelmannstrasseNode,BA-SengelmannstrasseLink,BA-SengelmannstrasseLink,BA-SengelmannstrasseStopFacility,BA-SengelmannstrasseStop
City_Nord,City_NordNode,City_NordNode,BA-City_NordLink,BA-City_NordLink,BA-City_NordStopFacility,BA-City_NordStop
Borgwerg,BorgwergNode,BorgwergNode,BA-BorgwergLink,BA-BorgwergLink,BA-BorgwergStopFacility,BA-BorgwergStop
Jarrestrasse,JarrestrasseNode,JarrestrasseNode,BA-JarrestrasseLink,BA-JarrestrasseLink,BA-JarrestrasseStopFacility,BA-JarrestrasseStop
Beethovenstrasse,BeethovenstrasseNode,BeethovenstrasseNode,BA-BeethovenstrasseLink,BA-BeethovenstrasseLink,BA-BeethovenstrasseStopFacility,BA-BeethovenstrasseStop
Uhlenhorst,UhlenhorstNode,UhlenhorstNode,BA-UhlenhorstLink,BA-UhlenhorstLink,BA-UhlenhorstStopFacility,BA-UhlenhorstStop
St_Georg,St_GeorgNode,St_GeorgNode,BA-St_GeorgLink,BA-St_GeorgLink,BA-St_GeorgStopFacility,BA-St_GeorgStop
Hauptbahnhof_Nord,Hauptbahnhof_NordNode,Hauptbahnhof_NordNode,BA-Hauptbahnhof_NordLink,BA-Hauptbahnhof_NordLink,BA-Hauptbahnhof_NordStopFacility,BA-Hauptbahnhof_NordStop
Jungfernstieg,JungfernstiegNode,JungfernstiegNode,BA-JungfernstiegLink,BA-JungfernstiegLink,BA-JungfernstiegStopFacility,BA-JungfernstiegStop
Stephansplatz_Dammtor,Stephansplatz_DammtorNode,Stephansplatz_DammtorNode,BA-Stephansplatz_DammtorLink,BA-Stephansplatz_DammtorLink,BA-Stephansplatz_DammtorStopFacility,BA-Stephansplatz_DammtorStop
Universitaet,UniversitaetNode,UniversitaetNode,BA-UniversitaetLink,BA-UniversitaetLink,BA-UniversitaetStopFacility,BA-UniversitaetStop
Grindelberg,GrindelbergNode,GrindelbergNode,BA-GrindelbergLink,BA-GrindelbergLink,BA-GrindelbergStopFacility,BA-GrindelbergStop
Hoheluftbruecke,HoheluftbrueckeNode,HoheluftbrueckeNode,BA-HoheluftbrueckeLink,BA-HoheluftbrueckeLink,BA-HoheluftbrueckeStopFacility,BA-HoheluftbrueckeStop
Gaertnerstrasse,GaertnerstrasseNode,GaertnerstrasseNode,BA-GaertnerstrasseLink,BA-GaertnerstrasseLink,BA-GaertnerstrasseStopFacility,BA-GaertnerstrasseStop
UKE,UKENode,UKENode,BA-UKELink,BA-UKELink,BA-UKEStopFacility,BA-UKEStop
Behrmannplatz,BehrmannplatzNode,BehrmannplatzNode,BA-BehrmannplatzLink,BA-BehrmannplatzLink,BA-BehrmannplatzStopFacility,BA-BehrmannplatzStop
Hagenbecks_Tierpark,Hagenbecks_TierparkNode,Hagenbecks_TierparkNode,BA-Hagenbecks_TierparkLink,BA-Hagenbecks_TierparkLink,BA-Hagenbecks_TierparkStopFacility,BA-Hagenbecks_TierparkStop
Sportplatzring,SportplatzringNode,SportplatzringNode,BA-SportplatzringLink,BA-SportplatzringLink,BA-SportplatzringStopFacility,BA-SportplatzringStop
Stellingen_Arenen,Stellingen_ArenenNode,Stellingen_ArenenNode,BA-Stellingen_ArenenLink,BA-Stellingen_ArenenLink,BA-Stellingen_ArenenStopFacility,BA-Stellingen_ArenenStop
Arenen_Volkspark,Arenen_VolksparkNode,Arenen_VolksparkNode,BA-Arenen_VolksparkLink,BA-Arenen_VolksparkLink,BA-Arenen_VolksparkStopFacility,BA-Arenen_VolksparkStop
